Species,Time,GR
PF,0,1.65
PF,0,1.6
PF,0,1.8
PF,50,1.95
PF,50,1.92
PF,50,1.6
PF,100,1.85
PF,100,1.95
PF,100,1.8
PF,152,1.85
PF,152,1.99
PF,152,1.96
PF,192,1.78
PF,192,2.05
PF,192,2.11
PF,222,1.94
PF,222,2
PF,222,2.13
PF,246,2.05
PF,246,2.14
PF,246,2.08
PF,263,2.13
PF,263,2.1
PF,263,2.05
PF,275,2.26
PF,275,1.91
PF,275,2.18
PF,291,2.2
PF,291,2.15
PF,291,2.04
PF,303,2.38
PF,303,1.98
PF,303,2.14
PF,313,2.12
PF,313,2.19
PF,313,2.18
PF,320,2.1
PF,320,2.38
PF,320,2
PF,363,2.091275999
PF,363,2.171442892
PF,363,2.304127113
PSP,0,2
PSP,0,2.1
PSP,0,2.02
PSP,50,2.15
PSP,50,2.23
PSP,50,2.05
PSP,100,1.99
PSP,100,2.28
PSP,100,2.35
PSP,152,2.34
PSP,152,2.25
PSP,152,2.2
PSP,192,2.3
PSP,192,2.3
PSP,192,2.35
PSP,222,2.62
PSP,222,2.2
PSP,222,2.37
PSP,246,2.4
PSP,246,2.59
PSP,246,2.45
PSP,263,2.45
PSP,263,2.49
PSP,263,2.63
PSP,275,2.47
PSP,275,2.53
PSP,275,2.66
PSP,291,2.45
PSP,291,2.73
PSP,291,2.58
PSP,303,2.4
PSP,303,2.6
PSP,303,2.65
PSP,313,2.35
PSP,313,2.73
PSP,313,2.69
PSP,320,2.37
PSP,320,2.6
PSP,320,2.79
PSP,363,2.516709114
PSP,363,2.600642317
PSP,363,2.671510218
PP,100,2.98
PP,100,2.95
PP,100,3.25
PP,152,3.25
PP,152,3.51
PP,152,3.1
PP,192,4.03
PP,192,3.95
PP,192,3.68
PP,222,4.25
PP,222,4.09
PP,222,4.3
PP,246,4.35
PP,246,4.52
PP,246,4.4
PP,263,4.3
PP,263,4.8
PP,263,4.57
PP,275,4.72
PP,275,4.7
PP,275,4.94
PP,291,4.98
PP,291,4.77
PP,291,5.05
PP,303,5.18
PP,303,4.99
PP,303,4.89
PP,313,4.98
PP,313,4.92
PP,313,5.25
PP,320,4.81
PP,320,4.98
PP,320,5.24
PP,363,4.981343536
PP,363,5.39997102
PP,363,4.891851758
UM,100,4
UM,100,3.89
UM,100,4.27
UM,152,4.15
UM,152,4.32
UM,152,4.52
UM,192,4.65
UM,192,4.75
UM,192,4.45
UM,222,4.69
UM,222,4.8
UM,222,4.75
UM,246,4.66
UM,246,4.99
UM,246,4.94
UM,263,4.88
UM,263,4.99
UM,263,5
UM,275,4.95
UM,275,5.05
UM,275,4.89
UM,291,4.92
UM,291,5.15
UM,291,4.88
UM,303,4.96
UM,303,4.9
UM,303,5.04
UM,313,5.31
UM,313,4.95
UM,313,4.8
UM,320,4.9
UM,320,4.99
UM,320,5.1
UM,363,5.101205818
UM,363,5.352066258
UM,363,4.927253685
PI,100,1.28
PI,100,1.66
PI,100,1.72
PI,152,1.75
PI,152,1.8
PI,152,1.59
PI,192,1.78
PI,192,1.71
PI,192,2.01
PI,222,1.92
PI,222,1.96
PI,222,1.85
PI,246,1.89
PI,246,2.14
PI,246,1.9
PI,263,2
PI,263,2.19
PI,263,2.11
PI,275,2.26
PI,275,2.36
PI,275,2.03
PI,291,2.39
PI,291,2.49
PI,291,2.1
PI,303,2.44
PI,303,2.32
PI,303,2.5
PI,313,2.59
PI,313,2.67
PI,313,1.99
PI,320,2.4
PI,320,2.33
PI,320,2.59
PI,363,2.425483229
PI,363,2.238733621
PI,363,2.587232262
